County,Date,Deaths_per_100_Infections,Deaths_per_100k,Infection_per_100k,PctDeaths,PctOfInfections,PctPopInfected,Population,TotalCases,TotalDeaths,fips
Liberty,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0015,0.00011,61497.0,7.0,0.0,13179.0
Madison,2020-01-04 18:28:00,33.0,3.0,10.0,0.3333,0.0006,0.0001,29650.0,3.0,1.0,13195.0
Pierce,2020-01-04 18:28:00,0.0,0.0,36.0,0.0,0.0015,0.00036,19389.0,7.0,0.0,13229.0
Pickens,2020-01-04 18:28:00,14.0,3.0,22.0,0.1429,0.0015,0.00022,31980.0,7.0,1.0,13227.0
Peach,2020-01-04 18:28:00,14.0,4.0,26.0,0.1429,0.0015,0.00026000000000000003,27297.0,7.0,1.0,13225.0
Macon,2020-01-04 18:28:00,0.0,0.0,23.0,0.0,0.0006,0.00023,13143.0,3.0,0.0,13193.0
Paulding,2020-01-04 18:28:00,0.0,0.0,20.0,0.0,0.006999999999999999,0.0002,164044.0,33.0,0.0,13223.0
Oglethorpe,2020-01-04 18:28:00,0.0,0.0,7.0,0.0,0.0002,7e-05,15054.0,1.0,0.0,13221.0
Newton,2020-01-04 18:28:00,0.0,0.0,31.0,0.0,0.0072,0.00031,109541.0,34.0,0.0,13217.0
Oconee,2020-01-04 18:28:00,0.0,0.0,43.0,0.0,0.0036,0.00043,39272.0,17.0,0.0,13219.0
Murray,2020-01-04 18:28:00,0.0,0.0,13.0,0.0,0.0011,0.00013000000000000002,39921.0,5.0,0.0,13213.0
Morgan,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0004,0.00011,18853.0,2.0,0.0,13211.0
Monroe,2020-01-04 18:28:00,0.0,0.0,22.0,0.0,0.0013,0.00022,27520.0,6.0,0.0,13207.0
Mitchell,2020-01-04 18:28:00,3.0,5.0,176.0,0.0256,0.0082,0.00176,22192.0,39.0,1.0,13205.0
Miller,2020-01-04 18:28:00,0.0,0.0,70.0,0.0,0.0008,0.0007,5686.0,4.0,0.0,13201.0
Meriwether,2020-01-04 18:28:00,0.0,0.0,33.0,0.0,0.0015,0.00033,21068.0,7.0,0.0,13199.0
Muscogee,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0046,0.00011,194160.0,22.0,0.0,13215.0
Wheeler,2020-03-30 19:07:00,0.0,0.0,13.0,0.0,0.0003,0.00013000000000000002,7879.0,1.0,0.0,13309.0
Wayne,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,29808.0,0.0,0.0,13305.0
